500 99
####################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#########################################################################################################################################################################################################################################################################################################################################################################################################                                                                                                          #
#########################################################################################################################################################################################################################################################################################################################################################################################################                                                                                                          #
#########################################################################################################################################################################################################################################################################################################################################################################################################                                                                                                          #
#########################################################################################################################################################################################################################################################################################################################################################################################################                                                                                                          #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  #
#                                                                                                                                                                                                                                                                                                                      ####################################################################################                                                                                                        #
#                                                                                                                                                                                                                                                                                                                   ########################################################################################                                                                                                       #
#                                                                                                                                                                                                                                                                                                                  ##########################################################################################                                                                                                      #
#                                                                                                                                                                                                                                                                                                                 ############################################################################################                                                                                                     #
#                                                                                                                                                                                                                                                                                                                                                   #########################################################################                                                                                      #
#                                                                                                                                                                                                                                                                                                                                                                                          ######################################                                                                                  #
#                                                                                                                                                                                                                                                                                                                                                                                           ######################################                                                                                 #
#                                                                                                                                                                                                                                                                                                                                                                                                               ###################                                                                                #
